,Cast,Date/Duration,Language/Type,Moviename
0,"Sumona Das, Sabyasachi Chowdhury, Abhishek Chatterjee, Soma Das, Subhayan Roy, Subholina",06 Mar 2020 |  2 hrs 7 mins,"BengaliThriller, Horror | UA",Chayamurti
1,"Raaj Suriyan, Nasreen, Aakarshika",06 Mar 2020 |  2 hrs 2 mins,"KannadaAction, Horror, Romance | A",My Name Is Raja
2,"Elisabeth Moss, Oliver Jackson Cohen, Aldis Hodge, Michael Dorman, Storm Reid, Nash Edgerton, Sam Smith",28 Feb 2020 |  1 hr 50 mins,"EnglishHorror, Sci-Fi, Thriller | A",The Invisible Man
3,"Kishor Satya, Margret Antony, Abhishek Vinod, Baby Avani",28 Feb 2020 |  1 hr 58 mins,"MalayalamHorror, Thriller | UA",Isha
4,"Masataka Kubota, Maika Yamamoto, Nobuyuki Suzuki, Nana Mori",28 Feb 2020 |  1 hr 41 mins,"JapaneseAction, Fantasy, Horror | UA",Tokyo Ghoul S
5,"Vibhoutee Sharma, Reena Wadhwa, Ankur Vikal, Sai Tamhankar, Rajeev Gupta",28 Feb 2020 |  1 hr 44 mins,HindiHorror | A,Cookie
6,"Diana Khan, Zuber K. Khan, Gavie Chahal, Surendra Pal, Rudra",28 Feb 2020 |  1 hr 42 mins,HindiHorror | A,Haunted Hills
7,"Vicky Kaushal, Bhumi Pednekar, Ashutosh Rana",21 Feb 2020 |  2 hrs 10 mins,HindiHorror | A,Bhoot: Part One - The Haunted Ship
8,"Katie Holmes, Owain Yeoman, Ralph Ineson, Natalie Moon",21 Feb 2020 |  1 hr 26 mins,"EnglishHorror, Mystery, Thriller | UA",Brahms: The Boy II
9,"Mitra Gadhvi, Khushi Shah, Chetan Daiya, Shekhar Shukla, Smit Pandya",14 Feb 2020 |  2 hrs 15 mins,"GujaratiComedy, Horror | UA",Affraa Taffri
10,"Richard Armitage, Alicia Silverstone, Riley Keough, Jaeden Martell",14 Feb 2020 |  1 hr 48 mins,"EnglishHorror, Drama, Thriller",The Lodge
11,"Lucy Hale, Maggie Q, Portia Doubleday, Charlotte McKinney, Michael Rooker, Michael Pena, Kim Coates, Ryan Hansen, Austin Stowell",14 Feb 2020 |  1 hr 50 mins,"EnglishAdventure, Comedy, Horror | UA",Fantasy Island
12,"Rakesh Bagul, Lucky Badgujar, Swati Shukla, Swati Patil",07 Feb 2020 |  2 hrs 2 mins,"MarathiHorror, Mystery, Drama | UA",Rahasya
13,"Natarajan Subramaniam, Manisha Yadav, Yogi Babu, Vasu Vikram",07 Feb 2020 |  2 hrs 2 mins,"TamilComedy, Horror | UA",Sandimuni
14,"Satish Gejage, Sanket Viswasrao, Vaibhavi Chavan, Shreyas Behere",31 Jan 2020 |  1 hr 41 mins,"MarathiHorror, Thriller | UA",Kaaal
15,"Krishne Gowda, Aryan Suryaa, Bharathi Hedge, Bullet Venu",31 Jan 2020 |  2 hrs 34 mins,"KannadaHorror, Thriller | UA",Nigarva
16,"Mackenzie Davis, Finn Wolfhard, Brooklynn Prince, Mark Huberman, Niall Greig Fulton, Denna Thomsen",24 Jan 2020 |  1 hr 34 mins,"EnglishDrama, Horror, Mystery | A",The Turning
17,"Vaibhav Reddy, Nandita Swetha, Yogi Babu, Hareesh Peradi, Pandiarajan",24 Jan 2020 |  2 hrs 3 mins,"TamilAction, Comedy, Horror | U",Taana
18,"Betty Gilpin, Tara Westwood, Andrea Riseborough, William Sadler, Joel Marsh Garland, Lin Shaye, John Cho, Demian Bichir, Jacki Weaver, Frankie Faison",03 Jan 2020 |  1 hr 20 mins,"EnglishHorror, Mystery | A",The Grudge
19,"Noorin Shereef, Ankeeta R Maharanaa, Nataraj, Raghu Babu",01 Jan 2020 |  2 hrs 10 mins,"TeluguThriller, Horror, Comedy | UA",Oollalla Oollalla
20,"Missi Pyle, Luke Evans, Juliette Lewis, Octavia Spencer, McKaley Miller, Corey Fogelmanis, Dominic Burgess",27 Dec 2019 |  1 hr 39 mins,"EnglishHorror, Mystery, Thriller | A",MA
21,"Rajatava Dutta, Rudranil Ghosh, Tanushree Chakraborty, Sourav Saha",13 Dec 2019 |  1 hr 34 mins,"BengaliHorror, Thriller | UA",Zombiesthaan
22,"Munna Kasi, Mumait Khan, Nutan Naidu, Tanikella Bharani, Lizzee Gopal, Preethi Nigam",12 Dec 2019 |  1 hr 51 mins,"TeluguMusic, Horror | UA",Heza
23,"Sundar C, VTV Ganesh, Dhansika, Sakshi Parvinder, Yogi Babu, Vimala Raman",06 Dec 2019 |  2 hrs 19 mins,"TamilThriller, Horror | UA",Iruttu
24,"Radhika Kumaraswamy, Bhajarangi Loki, Sadhu Kokila, Tabla Nani, Sharan Ulthi, Anusha Rai",29 Nov 2019 |  2 hrs 32 mins,"TeluguHorror, Thriller | UA",Samharini
25,"Partha Sarathi Dattai, Srija, Monojyoti Mukherjee, Anish Sharma",29 Nov 2019 |  1 hr 50 mins,"BengaliComedy, Horror | UA",Hari Ghosher Gowal
26,"Doubt Senthil, Kaala Pradeep, Ajith Prakash, Reeya Harini",22 Nov 2019 |  2 hrs 31 mins,"TamilHorror, Comedy | UA",Maggy
27,"Chikkanna, Sadhu Kokila, Kuri Prathap, Sruthi Hariharan, Rajesh Natranga, Karunya Ram",15 Nov 2019 |  2 hrs 20 mins,"KannadaComedy, Horror | UA",Mane Maratakkide
28,"Rebecca Ferguson, Ewan McGregor, Jacob Tremblay, Cliff Curtis, Carel Struycken, Emily Alyn Lind, Bruce Greenwood, Zahn McClarnon, Jocelin Donahue, Carl Lumbly, Alex Essoe",08 Nov 2019 |  2 hrs 31 mins,"EnglishHorror, Thriller | A",Doctor Sleep
29,"Balu Nagendra, Sangeetha Bhatt, Kari Subbu, Prakash Thuminad",08 Nov 2019 |  1 hr 56 mins,"KannadaDrama, Horror, Suspense | UA",Kapata Nataka Paatradhaari
30,"Robin Sohi, Salil Ankola, Rushad Rana, Navneet Kaur Dhillon",08 Nov 2019 |  1 hr 39 mins,"HindiThriller, Horror | UA",Ekta
31,"Ravi Babu, Neha Chauhan, Kasi Vishwanath, Mukhtar Khan",01 Nov 2019 |  2 hrs 10 mins,"TeluguHorror, Thriller | UA",Aaviri
32,"Dharmajan Bolgatty, Ramya Krishnan, Veena Nair, Salim Kumar, Hareesh Kanaran, Sreenath Bhasi",01 Nov 2019 |  2 hrs 22 mins,"MalayalamThriller, Horror | UA",Akashaganga 2
33,"Adil Ibrahim, Hima Sankar, Manoj Guiness, Akshara Kishor",01 Nov 2019 |  1 hr 54 mins,MalayalamHorror | UA,Bhayam
34,"emma stone, Abigail Breslin, Woody Harrelson, Jesse Eisenberg, Zoey Deutch, Rosario Dawson, Avan Jogia, Dan Aykroyd, Luke Wilson, Thomas Middleditch, Rachel Luttrell, Julia Vasi",18 Oct 2019 |  1 hr 39 mins,"EnglishAction, Comedy, Horror | A",Zombieland: Double Tap
35,"Ashwin Babu, Avika S. Gor, Ali, Urvashi, Ajay Ghosh, Brahmaji, Hari Teja, Dhanraj, Prabhas Sreenu",18 Oct 2019 |  2 hrs 2 mins,"TeluguComedy, Horror | UA",Raju Gari Gadhi 3
36,"Praaveen, Prakruthy",18 Oct 2019 |  1 hr 41 mins,"KannadaHorror, Thriller | A",Murkal Estate
37,"Sanaya Irani, Shivam Bhaargava",18 Oct 2019 |  2 hrs 10 mins,"HindiHorror, Thriller | A",Ghost
38,"Siddharth, Catherine Tresa, Sathyaraj, Kaali Venkat, Kabir Duhan Singh, Aadukalam Naren, Rajendran, Karunakaran",11 Oct 2019 |  2 hrs 10 mins,"TamilHorror, Comedy | UA",Aruvam
39,"Siddharth, Catherine Tresa, Aadukalam Naren, Kabir Duhan Singh, Kaali Venkat, Sathyaraj, Rajendran, Karunakaran",11 Oct 2019 |  2 hrs 10 mins,"TeluguHorror, Comedy | UA",Vadaladu
40,"Tamannaah Bhatia, Yogi Babu, Kaali Venkat, Munishkanth, Sathyan, Vaibhav Reddy",11 Oct 2019 |  2 hrs 8 mins,"TamilComedy, Horror | UA",Petromax
41,"Sreejith Panicker, Suriya Lakshmi, Smitha Sasi, Sunith Sarangi",27 Sep 2019 |  1 hr 42 mins,"MalayalamHorror, Thriller | UA",Ooha
42,"Arbaaz Khan, Aindrita Ray, Govind Namdev, Vikas Verma, Hemant Pandey",27 Sep 2019 |  1 hr 32 mins,"HindiHorror, Thriller | A",Main Zaroor Aaunga
43,"Shiva Chandra Ks, Gandhi Ram, Anju, Pooja Basavaraj",20 Sep 2019 |  2 hrs 10 mins,"KannadaHorror, Thriller | UA",Baro Baro Geleya
44,"Samara Weaving, Adam Brody, Mark O Brien, Henry Czerny, Andie MacDowell, Melanie Scrofano",13 Sep 2019 |  1 hr 36 mins,"EnglishComedy, Horror, Mystery | A",Ready Or Not
45,"Yogi Babu, Yashika Aannand, Gopi Sudhakar, T.M. Karthik Srinivasan",06 Sep 2019 |  2 hrs 8 mins,"TamilHorror, Comedy | UA",Zombie
46,"Tanishq Reddy, Shubanghi Pant, Alexius Macleod",06 Sep 2019 |  1 hr 57 mins,"TeluguHorror, Thriller | UA",Darpanam
47,"Agaran, Ramya Ramakrishnan, Mundasupatti Pasupathi, Kumaran Vadivelu",06 Sep 2019 |  2 hrs 2 mins,"TamilHorror, Drama | UA",Arivaalae Unnai Arivayappa
48,"Bill Skarsgard, Jessica Chastain, James McAvoy, Jay Ryan, Bill Hader, James Ransone, Javier Botet, Jaeden Lieberher, Andy Bean",06 Sep 2019 |  2 hrs 50 mins,"EnglishHorror, Thriller | A",IT: Chapter Two
49,"Nia Long, John Corbett, Sophie Nelisse, Brec Bassinger",30 Aug 2019 |  1 hr 30 mins,"EnglishAdventure, Horror, Thriller | UA",47 Meters Down: Uncaged
